id,name,isAdmin,logo,banner,description,tagLine,website,domain,followerCount,industry,companySize,headquarters,type,founded,specialties,mainCompanyID,industryCode,salesNavigatorLink,employeesOnLinkedIn,totalEmployeeCount,growth6Mth,growth1Yr,growth2Yr,averageTenure,distributionOperations,distributionOperationsPercentage,distributionEngineering,distributionEngineeringPercentage,distributionMediaAndCommunication,distributionMediaAndCommunicationPercentage,distributionSupport,distributionSupportPercentage,distributionMarketing,distributionMarketingPercentage,distributionInformationTechnology,distributionInformationTechnologyPercentage,distributionHumanResources,distributionHumanResourcesPercentage,distributionSales,distributionSalesPercentage,distributionQualityAssurance,distributionQualityAssurancePercentage,distributionBusinessDevelopment,distributionBusinessDevelopmentPercentage,distributionProductManagement,distributionProductManagementPercentage,distributionResearch,distributionResearchPercentage,distributionPurchasing,distributionPurchasingPercentage,distributionProgramAndProjectManagement,distributionProgramAndProjectManagementPercentage,distributionArtsAndDesign,distributionArtsAndDesignPercentage,distributionAccounting,distributionAccountingPercentage,savedImg,companyUrl,relatedCompanies1,relatedCompanies2,relatedCompanies3,relatedCompanies4,relatedCompanies5,relatedCompanies6,relatedCompanies7,relatedCompanies8,relatedCompanies9,relatedCompanies10,query,timestamp,phone,companyAddress,distributionAdministrative,distributionAdministrativePercentage,distributionMilitaryAndProtectiveServices,distributionMilitaryAndProtectiveServicesPercentage,distributionLegal,distributionLegalPercentage,distributionFinance,distributionFinancePercentage,distributionEducation,distributionEducationPercentage,distributionEntrepreneurship,distributionEntrepreneurshipPercentage,distributionCommunityAndSocialServices,distributionCommunityAndSocialServicesPercentage,distributionConsulting,distributionConsultingPercentage,distributionHealthcareServices,distributionHealthcareServicesPercentage,distributionRealEstate,distributionRealEstatePercentage,isClaimable,relatedCompanies11,relatedCompanies12,relatedCompanies13
42,ILIA Beauty,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQFSxcZ3Z3ba8Q/company-logo_400_400/0/1580950440631?e=1643241600&v=beta&t=mi2iX9ZbdDND80y2nhFh6acr43vKJlGZz7dX2O8jH38,https://media-exp1.licdn.com/dms/image/C561BAQGFYztL08zEnQ/company-background_10000/0/1580950934073?e=1634965200&v=beta&t=O0CFIBHD-cUhEY6IbzH0LWcCNPL4Wsg9Tu7Axemuz4s,"SKINCARE POWERED MAKEUP. \nWe believe in skin that looks like skin—and radiance that comes naturally. Since 2011, ILIA has been at the forefront of the clean beauty movement, creating innovative formulas with powerful actives that protect and revive skin, safely. The Result? Thoughtful essentials you can trust and that make your skin look and feel alive.",Skincare-powered makeup.,https://iliabeauty.com/,https://iliabeauty.com,17694,Cosmetics,11-50 employees,"Laguna Beach, California",Privately Held,,"Gluten Free Cosmetics, Cruelty Free — Certified Leaping Bunny, Lipstick, Tinted Lip Conditioner, Lip Care, Foundation, Mascara, Vegan, and Clean Beauty",10604141,18,https://www.linkedin.com/sales/company/10604141/,94,94,4% increase,54% increase,141% increase,1.1 years,10,11,,,5,6,4,4,18,20,2,2,,,21,23,,,4,4,2,2,,,,,,,4,4,3,3,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/ILIA Beauty.jpeg,https://www.linkedin.com/company/ilia-beauty/,https://www.linkedin.com/company/youth-to-the-people/,https://www.linkedin.com/company/milk-makeup/,https://www.linkedin.com/company/kosas-cosmetics/,https://www.linkedin.com/company/glossier/,https://www.linkedin.com/company/theouai/,https://www.linkedin.com/company/sunday-riley/,https://www.linkedin.com/company/drunk-elephant-llc/,https://www.linkedin.com/company/rarebeautyofficial/,https://www.linkedin.com/company/tatcha-inc/,https://www.linkedin.com/company/herbivore-botanicals/,https://www.linkedin.com/company/ilia-beauty/,2021-10-22T04:17:34.468Z,,"Laguna Beach, California 92651, US",,,,,,,,,11,12,,,,,,,,,,,,,,
43,ILVETO INDIA,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQGlU0AHZ3qluA/company-logo_400_400/0/1519908479253?e=1643241600&v=beta&t=z2sUX8Hw5iWDiAVNjv7rb1ulF7AOOWZRNH7nTVJafZ4,,Ilveto india is innovative assessments operator specialised in different areas ranging from computer courses to embroidery. We at ilveto india working actively to make HR process very easy and competitive. We are developing our products uniquely for world class assessment process. We are committed to innovation and our product specialised in different categories of assessments.,One Stop Assessment Solution,http://www.ilvetoindia.com,ilvetoindia.com,18,Internet,2-10 employees,"Delhi, Delhi",Privately Held,2017,"online assessment, campus hiring, online proctoring plateform, vocational assessment, aptitude assessment, coding assessment, anti cheating assessment platform, and Employability assessment",13617637,6,https://www.linkedin.com/sales/company/13617637/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/ILVETO INDIA.jpeg,https://www.linkedin.com/company/ilvetoindia/,https://www.linkedin.com/company/techevyau/,https://www.linkedin.com/company/studizen/,https://www.linkedin.com/company/lallab-magazine/,https://www.linkedin.com/company/dogico-information-inc./,https://www.linkedin.com/company/testofy/,https://www.linkedin.com/company/hebeon-technologies/,https://www.linkedin.com/company/cours-legendre---axa-assistance/,https://www.linkedin.com/company/gaya---la-nouvelle-agence/,https://www.linkedin.com/company/learnbyseven/,https://www.linkedin.com/company/learnosity/,https://www.linkedin.com/company/ilvetoindia/,2021-10-22T04:17:42.347Z,9821754427,"S/117 Pandav nagar, Akshardham, Delhi, Delhi 110092, IN",,,,,,,,,,,,,,,,,,,,,,,,
44,Imagine Traduzioni Srl,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQG3v5m-7K18Qg/company-logo_400_400/0/1519952077731?e=1643241600&v=beta&t=ucLEOHa57yZBfpFX4-qCQ2hh1MQKi1qModJrO4oIDE0,https://media-exp1.licdn.com/dms/image/C561BAQF-Tzbi-3f1JA/company-background_10000/0/1524475858448?e=1634965200&v=beta&t=sO6h3UrNIbCGlVLqOYDC4l3WXY5zlzVlMgoXBaB-kL0,"Imagine offre servizi professionali di traduzione e interpretariato in oltre 100 combinazioni linguistiche.\nServiamo oltre 200 brand internazionali, tra cui spiccano aziende leader di mercato e ambasciatori del Made in Italy nel mondo. Assistiamo i nostri Clienti nell’internazionalizzazione della comunicazione aziendale, a partire dalla traduzione della documentazione tecnica, commerciale e pubblicitaria, dalla localizzazione dei siti internet alla progettazione grafica di magazine e nuovi cataloghi.\nAvvalendoci delle migliori tecnologie a disposizione, project manager competenti, traduttori e interpreti qualificati, offriamo soluzioni di comunicazione integrata che rispondono efficacemente alle esigenze più trasversali: garantiamo impeccabili servizi di simultanea per gli eventi e la formazione tecnica delle filiali estere, curiamo integralmente le traduzioni e l’impaginazione della documentazione, creiamo materiali innovativi vestendoli di una nuova grafica. Queste sono solo alcune delle soluzioni che offriamo per espandere la vostra attività globalmente.\n\nParliamo tutte le lingue che servono al vostro business e vi accompagniamo verso nuovi mercati e nuove conquiste.","L'inizio accade, la durata si costruisce insieme",http://www.imaginetraduzioni.it,imaginetraduzioni.it,1120,Translation & Localization,11-50 employees,"Crevalcore, Emilia Romagna",Privately Held,1989,"Traduzioni, Manuali Tecnici, Interpretariato, and Documentazione Aziendale",3173568,108,https://www.linkedin.com/sales/company/3173568/,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Imagine Traduzioni Srl.jpeg,https://www.linkedin.com/company/imagine-traduzioni-srl/,https://www.linkedin.com/company/nsc-traduzioni-ed-eventi/,https://www.linkedin.com/company/alltrad-sas-di-panero-&c-/,https://www.linkedin.com/company/kosmos-traduzioni/,https://www.linkedin.com/company/aglatech14/,https://www.linkedin.com/company/eurotrad-interpreti-e-traduttori-snc/,https://www.linkedin.com/company/arkadia-translations-srl/,https://www.linkedin.com/company/priviet/,https://www.linkedin.com/company/tdr-translation-company/,https://www.linkedin.com/company/coopit/,https://www.linkedin.com/company/epos-traduzioni/,https://www.linkedin.com/company/imagine-traduzioni-srl/,2021-10-22T04:17:49.292Z,,"Via Panerazzi, 703, Crevalcore, Emilia Romagna 40014, IT",,,,,,,,,,,,,,,,,,,,,,,,
45,Imcheck Therapeutics,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQHPvG0WSf689A/company-logo_400_400/0/1519879091119?e=1643241600&v=beta&t=_nV-XvqSrj2zGYnzqAgKw4E619aV0gWu35pc7QJ6sMs,https://media-exp1.licdn.com/dms/image/C4E1BAQGFEnOxDlKp_w/company-background_10000/0/1519798605391?e=1634965200&v=beta&t=YYpthnm_1_hiYNY6WZkM1LqyVJ5SVo7j1tVYPLrlcAg,"ImCheck Therapeutics is designing and developing a new generation of immunotherapy antibodies positioned at the crossroads of two high-potential immunological fields: γ9δ2 T cells and a novel super-family of immunomodulators, butyrophilins. \n\nDue to their mechanism of action, and notably their ability to simultaneously modulate innate and adaptive immunity, ImCheck's “first-in-class” activating antibodies may be able to produce superior anti-cancer efficacy as compared to the first-generation of immune checkpoint inhibitors and, when used in combination, overcome the resistance to this class of agents. Activated γ9δ2 T cells also have therapeutic potential in infectious diseases (e.g., bacteria and viruses), while antagonist antibodies have potential as treatments for a range of autoimmune diseases.\n\nCo-founder of the Marseille Immunopole cluster, ImCheck benefits from support from Prof. Daniel Olive (INSERM, CNRS, Institut Paoli Calmettes, Aix-Marseille Université), a worldwide leader in γδ T cells and butyrophilins research; from the experience of an expert management team; and from the commitment of leading US and European investors.",Innovation in immunomodulation,http://imchecktherapeutics.com,imchecktherapeutics.com,4276,Biotechnology,11-50 employees,"Marseille, Provence-Alpes-Cote d'Azur",Partnership,2015,"antibodies, immuno-oncology, Immune checkpoint Modulators, Auto-immunity, innate immunity, oncology, cancer, precision-based medicine, adaptative immunity, EVICTIONtrial, and ICT01",15241984,12,https://www.linkedin.com/sales/company/15241984/,43,43,10% increase,8% increase,30% increase,2.8 years,1,2,12,28,1,2,,,,,,,1,2,,,1,2,8,19,,,5,12,,,4,9,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Imcheck Therapeutics.jpeg,https://www.linkedin.com/company/imcheck-therapeutics/,https://www.linkedin.com/company/dynacure/,https://www.linkedin.com/company/enyo-pharma/,https://www.linkedin.com/company/innate-pharma/,https://www.linkedin.com/company/inotrem-sa/,https://www.linkedin.com/company/enterome/,https://www.linkedin.com/company/dna-script/,https://www.linkedin.com/company/sparingvision/,https://www.linkedin.com/company/eyevensys/,https://www.linkedin.com/company/cellectis/,https://www.linkedin.com/company/tissium/,https://www.linkedin.com/company/imcheck-therapeutics/,2021-10-22T04:17:56.247Z,,"249 Bd de Sainte-Marguerite 13009 Marseille - France, 180 avenue du Prado 13008 Marseille - France, Marseille, Provence-Alpes-Cote d'Azur 13009, FR",3,7,,,,,2,5,2,5,1,2,,,,,2,5,,,,,,
46,IMPACT Partners,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQEercT2-Rwk3w/company-logo_400_400/0/1574933541186?e=1643241600&v=beta&t=MZDvR8lYjkgB2Nj6130CLu_MwGIxOKDferksFFhXjLM,https://media-exp1.licdn.com/dms/image/C561BAQGXKyJ-EljL-Q/company-background_10000/0/1550663657333?e=1634965200&v=beta&t=1B4TA0MZtNxMV-QwQW9egNEV8bRI2LNjtcrjuptW7PE,"IMPACT partners manages investment funds with and for social impacts.\nIMPACT partners also promotes an inclusive economy by supporting great entrepreneurs all over Europe.\nWith more than 150 portfolio companies and €200M under management, IMPACT partners proves that we are able to achieve both social and financial performances.",Our future is social,http://www.impact.fr,impact.fr,7520,Venture Capital & Private Equity,11-50 employees,"Paris, Ile-de-France",Privately Held,2007,Impact investment and Capital développement,3270527,106,https://www.linkedin.com/sales/company/3270527/,46,46,7% increase,2% increase,48% increase,1.3 years,2,4,,,1,2,1,2,,,2,4,2,4,3,7,,,8,18,,,,,,,1,2,1,2,1,2,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/IMPACT Partners.jpeg,https://www.linkedin.com/company/impact-partners-eu/,https://www.linkedin.com/company/impactpartnersconsulting/,https://www.linkedin.com/company/citizen-capital/,https://www.linkedin.com/company/alter-equity/,https://www.linkedin.com/company/incogroup/,https://www.linkedin.com/company/investir-&-/,https://www.linkedin.com/company/impactpartnrs/,https://www.linkedin.com/company/montetafranchise/,https://www.linkedin.com/company/phitrust/,https://www.linkedin.com/company/raise-france/,https://www.linkedin.com/company/franceinvesteu/,https://www.linkedin.com/company/impact-partners-eu/,2021-10-22T04:18:03.349Z,,"22, Rue de la Pépinière, Paris, Ile-de-France 75008, FR",1,2,,,,,15,33,,,6,13,1,2,,,,,,,,,,
47,Imperfect Foods,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQGp3xd3JQwJYg/company-logo_400_400/0/1568906483023?e=1643241600&v=beta&t=9VYOUf7UtVFmwQTkubgB8wwS_Cur1ZsEYoDGlO8XNfk,https://media-exp1.licdn.com/dms/image/C561BAQFtgWibCB5lSA/company-background_10000/0/1568906913140?e=1634965200&v=beta&t=1bvs_twv6IbKddhERNik7_PGPR6JUIrI8Y-wB0a1J1M,"Imperfect Foods was founded in 2015 with a mission to reduce food waste and build a better food system for everyone. We offer imperfect (yet delicious) produce, affordable pantry items, and quality meat and dairy. We deliver them conveniently to our customers’ doorsteps and pride ourselves on offering up to a 30% discount compared to grocery store prices. Our customers can get the healthy, seasonal produce they want alongside the grocery staples they rely on, without having to compromise their budget or values. We’re proving that doing the right thing for the planet doesn’t have to cost more, and that shopping for quality ingredients can support the people and resources that it takes to grow our favorite foods.\n\nWe're headquartered in San Francisco with operations all over the country. Check our website to see if there is an Imperfect near you!\n\nWe're looking for folks who are positive, motivated, and ready to change the world. If that sounds like you, drop us a line!",We deliver groceries on a mission to eliminate food waste and build a better food system for everyone.,http://www.imperfect.com,imperfect.com,27106,Food & Beverages,"1,001-5,000 employees","San Francisco, CA",Privately Held,2015,,10196934,34,https://www.linkedin.com/sales/company/10196934/,493,493,1% increase,10% increase,56% increase,1.5 years,196,41,40,8,18,4,33,7,40,8,23,5,21,4,,,,,18,4,9,2,,,14,3,9,2,9,2,8,2,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Imperfect Foods.jpeg,https://www.linkedin.com/company/imperfect-foods-spc/,https://www.linkedin.com/company/impossible-foods-inc./,https://www.linkedin.com/company/eat-just/,https://www.linkedin.com/company/misfitsmarket/,https://www.linkedin.com/company/oatly/,https://www.linkedin.com/company/daily-harvest/,https://www.linkedin.com/company/beyond-meat/,https://www.linkedin.com/company/thrivemarket/,https://www.linkedin.com/company/califia-farms/,https://www.linkedin.com/company/miyokoscreamery/,https://www.linkedin.com/company/kind/,https://www.linkedin.com/company/imperfect-foods-spc/,2021-10-22T04:18:10.859Z,,"Bayview, San Francisco, CA 94124, US",,,,,,,,,,,,,,,,,,,,,,,,
48,Impossible Foods,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQGTgUMikNRNbQ/company-logo_400_400/0/1593620094324?e=1643241600&v=beta&t=wXcPtCO_LvGOxv9y2q5eSw8TrvBeZ0ioiEWPhoe3UAw,https://media-exp1.licdn.com/dms/image/C4E1BAQG_ixI5bflN2g/company-background_10000/0/1631030784147?e=1634965200&v=beta&t=P74YDa3iWvq_T3dGn53yXM7aq4bmZgt0oUt7L3Brljg,"Together, we’re transforming the global food system by creating better ways to make meat, dairy and fish without using animals -- delicious, good for people, and good for the planet. Our approach: understand what people love about meat, dairy, and fish, and then explore the plant world for specific ingredients that recreate those experiences. In 2016, we launched the Impossible™ Burger: meat made from plants, for people who love to eat meat.\n\nFounded in 2011 by Pat Brown MD, PhD (Stanford Professor Emeritus) and backed by top-tier VCs and visionaries, we’re looking for the very best scientists, engineers, food developers, and business professionals in the world to join our creative, diverse, multi-talented and mission-driven team. We’re here to secure a sustainable future (and have fun while doing it). Come work with us to change the course of history.",Makers of meat from plants. Eat meat. Save Earth.,http://www.impossiblefoods.com,impossiblefoods.com,105475,Food & Beverages,201-500 employees,"Redwood City, California",Privately Held,2011,,3087544,34,https://www.linkedin.com/sales/company/3087544/,818,818,2% increase,35% increase,95% increase,1.7 years,132,17,54,7,17,2,,,43,5,33,4,24,3,58,7,13,2,36,5,20,3,177,22,13,2,23,3,,,24,3,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Impossible Foods.jpeg,https://www.linkedin.com/company/impossible-foods-inc./,https://www.linkedin.com/company/beyond-meat/,https://www.linkedin.com/company/oatly/,https://www.linkedin.com/company/eat-just/,https://www.linkedin.com/company/imperfect-foods-spc/,https://www.linkedin.com/company/kind/,https://www.linkedin.com/company/califia-farms/,https://www.linkedin.com/company/daily-harvest/,https://www.linkedin.com/company/the-good-food-institute/,https://www.linkedin.com/company/miyokoscreamery/,https://www.linkedin.com/company/thrivemarket/,https://www.linkedin.com/company/impossible-foods-inc./,2021-10-22T04:18:18.478Z,,"400 Saginaw Dr, Redwood City, California 94063, US",18,2,,,28,4,21,3,,,20,3,,,,,,,,,,,,
49,Impulse Corporate Finance,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQHJS3vZMIqr9Q/company-logo_400_400/0/1519871634326?e=1643241600&v=beta&t=JRDNKPTKbzcichlWzIjzysrWv64qU-HJhu5D3aTSmOo,https://media-exp1.licdn.com/dms/image/C561BAQGqNvpKCVRUQw/company-background_10000/0/1622136042595?e=1634965200&v=beta&t=npjFC78wj7xcCh0uTvgoQY1TsQQ9z5TOfeudokOy5To,"Impulse Corporate Finance est une banque d’affaires parisienne spécialisée dans le conseil financier. Depuis nos débuts en 2016, nous intervenons auprès d’une clientèle variée d’entreprises de croissance : groupe industriel, start-up, entreprise familiale ou fonds d’investissement.\n\nUne équipe de collaborateurs et de seniors advisors ayant acquis de solides expériences au sein d’établissements de premiers plans est à votre disposition afin de vous garantir un accompagnement financier sur-mesure, assorti à une relation de confiance et de proximité.\n\nN’hésitez pas à nous contacter pour nous parler de vos projets.\n\nImpulse Corporate Finance is a French corporate finance boutique dedicated to the HighTech, Media, Real Estate and Energy industries. \n\nImpulse Corporate Finance advises high growth companies on financial transactions, fundraisings, capital increases and Mergers & Acquisitions. High-end services and close customer relationships stand as the core values of our firm. Throughout the experience, talent and commitment of our team, we believe Impulse Corporate Finance will provide the best solutions to ambitious entrepreneurs and their corporate finance challenges.","Banque d’affaires parisienne spécialisée dans le conseil financier (Levée de fonds, M&A, DAF Externalisée)",http://www.impulse-cf.fr/,impulse-cf.fr,1161,Financial Services,2-10 employees,"Neuilly-sur-Seine, Ile-de-France",Privately Held,2015,"Mergers & Acquisitions, Fundraising, Strategic & Financial Advisory, High tech, Real Estate, Media, TMT, Corporate Finance, Energy, Internet, and Venture Capital",10263058,43,https://www.linkedin.com/sales/company/10263058/,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Impulse Corporate Finance.jpeg,https://www.linkedin.com/company/impulse-corporate-finance/,https://www.linkedin.com/company/carmin-finance/,https://www.linkedin.com/company/avoltapartners/,https://www.linkedin.com/company/financi-re-cambon/,https://www.linkedin.com/company/capitalmind---corporate-finance-advisory/,https://www.linkedin.com/company/rothschildandco/,https://www.linkedin.com/company/financiere-monceau/,https://www.linkedin.com/company/pramex-international/,https://www.linkedin.com/company/ventech/,https://www.linkedin.com/company/raphael-financial-advisory/,https://www.linkedin.com/company/alienor-partners/,https://www.linkedin.com/company/impulse-corporate-finance/,2021-10-22T04:18:24.400Z,01 74 54 93 86,"83, Avenue Charles de Gaulle, Neuilly-sur-Seine, Ile-de-France 92200, FR",,,,,,,,,,,,,,,,,,,,,,,,
50,Indeov,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQG_zM2iSJsAlQ/company-logo_400_400/0/1625160365301?e=1643241600&v=beta&t=e29d1bMe_hAPEu7viJ6I9Q2WViJTnth989eOrJsUF5A,https://media-exp1.licdn.com/dms/image/C4D1BAQHI633QW7U71w/company-background_10000/0/1551985142091?e=1634965200&v=beta&t=x_VZaPPq-Nm1QRO7LEJz4OhK9k5OFLBE3yf3UV_-kMg,"Nós somos a Indeov, a primeira empresa de consultoria especializada em Cannabis Medicinal no Brasil.\n\nSomos guiados por um propósito claro: conectar pacientes e médicos a produtores de Cannabis Medicinal, promovendo qualidade de vida a Pacientes e Familiares.\n\nPara isso, trabalhamos com paixão e espírito de excelência, desenvolvendo posicionamento de marcas no Brasil, auxiliando nossos Médicos Parceiros com uma Equipe Multidisciplinar Especializada e cuidando de Pacientes de todas as idades.\n\nCom experiência internacional em mercado regulado, programa de suporte ao paciente, consultoria técnica e educação aos médicos, nossos valores são centrados no acolhimento e bem-estar de todos os envolvidos no acesso a Óleos Ricos em Canabinoides. Nosso portfólio se divide em três núcleos:\n\nAos Produtores de Cannabis Medicinal:\n● Technical assessment;\n● Estudo de Mercado e Viabilidade;\n● Consultoria em internacionalização de marcas;\n● Registro de produtos ricos em canabinoides no país;\n● Branding e Posicionamento de marca;\n● Estratégia de negócios;\n● Representação comercial.\n\nAos Médicos:\n● Consultoria Técnica e apoio em estudos sobre Terapia Canabinoide;\n● Discussão de Casos Clínicos;\n● Apoio em Estratégia Terapêutica na prática clínica;\n● Manejo de interações medicamentosas.\n\nA Pacientes e Familiares:\n● Conexão entre pacientes e médicos prescritores;\n● Resolução de trâmites de acesso Anvisa;\n● Auxílio no processo de aquisição e logística de entrega;\n● Acompanhamento terapêutico.\n\nContatos: (11) 99922/2170 ou 4858-6057",Acesso à Cannabis medicinal,https://www.indeov.com.br,https://indeov.com.br,1485,Medical Practice,11-50 employees,"São Paulo, São Paulo",Partnership,2017,"Saúde, Cannabis Medicinal, Qualidade de Vida, Óleos ricos em CBD, CBD, Acesso Humanizado, Suporte de acesso à Cannabis Medicinal, and Bem-estar",35437213,13,https://www.linkedin.com/sales/company/35437213/,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Indeov.jpeg,https://www.linkedin.com/company/indeovbrasil/,https://www.linkedin.com/company/green-flower-brazil/,https://www.linkedin.com/company/the-green-hub-group/,https://www.linkedin.com/company/greenhealth-care/,https://www.linkedin.com/company/hempmeds/,https://www.linkedin.com/company/cecmedicoficial/,https://www.linkedin.com/company/verdemed/,https://www.linkedin.com/company/dr-cannabis/,https://www.linkedin.com/company/aurora-cannabis-inc-/,https://www.linkedin.com/company/cannabis-sa%C3%BAde/,https://www.linkedin.com/company/entouragelab/,https://www.linkedin.com/company/indeovbrasil/,2021-10-22T04:18:32.202Z,011 99922-21780,"São Paulo, São Paulo 05415-030, BR",,,,,,,,,,,,,,,,,,,,,,,,
51,Index Ventures,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQGLQvAtavfvlw/company-logo_400_400/0/1519855965525?e=1643241600&v=beta&t=H8_9LSfPoA_2xuEt8gGBYCYjlZbhty-Zvnw6dVishv0,https://media-exp1.licdn.com/dms/image/C4E1BAQGInVFEl-bZZA/company-background_10000/0/1591865311210?e=1634965200&v=beta&t=gXo8Gn-thqsxPdkxv2brUjWDuEFAqwKzHNIzBwfgXmo,"Index Ventures is a venture capital firm based in London, San Francisco and Geneva, helping entrepreneurs turn bold ideas into transformative international businesses. \n\nSince 1996, we’ve partnered with exceptional entrepreneurs in Europe, the U.S. and Israel, who are using technology to reshape the world around us. The companies they’ve started include Adyen, Deliveroo, Dropbox, Farfetch, King, Slack and Supercell.\n\nNow that technology is part of everyone’s life and reconfiguring the traditional economy, sector by sector, we are no longer just “tech” investors. Indeed, we are convinced that every aspect of human life and economic activity can be transformed and improved by technology and entrepreneurial passion -- and that we are just at the start of this era. \n\nIndex covers every investment stage, from earliest seed through to explosive growth. We believe that opportunity is a mindset and we look for people who spot something others haven’t seen; something that they foresee can change the world and are committed to realising.\n\nMore than anything, we are passionate about building lifelong relationships with the entrepreneurs we work with, which is why they are our best reference.",Index helps the most ambitious entrepreneurs turn bold ideas into global businesses.,http://www.indexventures.com,indexventures.com,82606,Venture Capital & Private Equity,51-200 employees,,Partnership,1996,Technology venture capital,14585,106,https://www.linkedin.com/sales/company/14585/,89,89,9% increase,24% increase,33% increase,3.6 years,2,2,,,3,4,,,3,4,3,4,,,,,,,6,7,,,,,,,2,2,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Index Ventures.jpeg,https://www.linkedin.com/company/index-ventures/,https://www.linkedin.com/company/accel-vc/,https://www.linkedin.com/company/sequoia/,https://www.linkedin.com/company/andreessen-horowitz/,https://www.linkedin.com/company/bessemer-venture-partners/,https://www.linkedin.com/company/balderton-capital_2/,https://www.linkedin.com/company/lightspeed-venture-partners/,https://www.linkedin.com/company/atomico/,https://www.linkedin.com/company/greylock-partners/,https://www.linkedin.com/company/kleinerperkins/,https://www.linkedin.com/company/first-round-capital/,https://www.linkedin.com/company/index-ventures/,2021-10-22T04:18:39.176Z,,,15,18,,,7,8,6,7,18,22,14,17,,,,,,,,,,,,
52,India Mahdavi,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQHlJJH6EBcc3w/company-logo_400_400/0/1606750791946?e=1643241600&v=beta&t=Mjrhb-dNKpDRST9C9SZW1-LDu6jnZcAOR0JQm2UII3c,https://media-exp1.licdn.com/dms/image/C4E1BAQHjWzQ2LTCAGw/company-background_10000/0/1606752064554?e=1634965200&v=beta&t=p-B0puDbOfd3llpVbOWJ6NkW7RlZ5yPiAG3cA9UY21Y,"Architect, designer and scenographer, India Mahdavi is based in Paris. \n\nHer studio, created in 2000, is known for the diversity of its international projects which explore the fields of architecture, interior design, scenography, furniture and object design — all based in one single street in Paris, rue Las Cases. \n\nIndia Mahdavi is known for creating unique environments, combining a modern sense of comfort and elegance with color and humour. A cross-cultured art de vivre. \n\nPolyglotte & polychrome, India Mahdavi has become a signature, offering a special vocabulary that is joyful, nomadic and elegant all at the same time.",Studio d'architecture d'intérieur et de design,http://www.indiamahdavi.com,indiamahdavi.com,1948,Architecture & Planning,11-50 employees,"Paris, Île-de-France",Privately Held,1999,,29041263,50,https://www.linkedin.com/sales/company/29041263/,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/India Mahdavi.jpeg,https://www.linkedin.com/company/indiamahdavi/,https://www.linkedin.com/company/pierre-yovanovitch/,https://www.linkedin.com/company/liaigre-holdings/,https://www.linkedin.com/company/studio-ko/,https://www.linkedin.com/company/kelly-wearstler/,https://www.linkedin.com/company/charles-zana-architecture/,https://www.linkedin.com/company/maison-sarah-lavoine/,https://www.linkedin.com/company/dimoremilano/,https://www.linkedin.com/company/studiopepe-milan/,https://www.linkedin.com/company/cigu%C3%AB/,https://www.linkedin.com/company/jean-louisdeniot/,https://www.linkedin.com/company/indiamahdavi/,2021-10-22T04:18:46.107Z,+ 33 (0) 1 45 55 67 67,"3, Rue Las Cases, Paris, Île-de-France 75007, FR | 19, Rue Las Cases, Paris, Île-de-France 75007, FR | 29, Rue de Bellechasse, Paris, Île-de-France 75007, FR",,,,,,,,,,,,,,,,,,,,,,,,
